# provenance: join of the two files above, by spike sp-kz6ml. A gate row is matched to the
# testenv-batch run whose suite timestamps fall inside [gate_end - ran, gate_end]. Rows with
# ran<30s and rows with no contained batch are omitted: batch-results directories are keyed by
# a content hash and are OVERWRITTEN by a later run with the same key, so early-hour batches are
# under-represented. This is a bias toward MISSING rows, not toward wrong ones.
# format: <utc> <branch> <gate_ran_s> <verdict> <n_suites> <sum_suite_s> <batch_wall_s> <hour>

2026-09-20T16:35:22Z	spira/sp-6as8d	214	pass	16	172	95	16
2026-09-20T16:38:51Z	spira/sp-7dcpz	205	pass	16	162	87	16
2026-09-20T17:01:45Z	spira/sp-h3sw8	1367	branch-red	94	1068	537	17
2026-09-20T17:14:05Z	spira/sp-jxtpn	731	pass	96	1151	580	17
2026-09-20T17:24:35Z	spira/sp-3fg6w	504	pass	29	607	314	17
2026-09-20T17:50:03Z	spira/sp-5jsuu	1522	pass	171	2675	1342	17
2026-09-20T18:10:31Z	spira/sp-d0rnp	1221	pass	121	2021	1020	18
2026-09-20T18:14:22Z	spira-suite-state/auto-test-suites-confirm-red-20260920T181152Z	146	pass	3	32	20	18
2026-09-20T18:41:29Z	spira/sp-c8spz	1064	branch-red	38	798	417	18
2026-09-20T19:11:23Z	spira/sp-h3sw8	1782	branch-red	95	1773	922	19
2026-09-20T19:13:54Z	spira-suite-state/auto-test-suites-fixture-fault-20260920T191152Z	119	pass	3	5	3	19
2026-09-20T19:28:52Z	spira/sp-0y7cs	594	branch-red	40	336	178	19
